vendor,url
marketwatch,ei.marketwatch.com
anthropology,aio.anthropology.org.uk
morningstar,corporate.morningstar.com
imf,elibrary-data.imf.org
sagepub,sagepub.com
doi,www.doi.org
fold3,img8.fold3.com
docs.crypto-service,docs.crypto-service.com
oclc,purl.oclc.org
mergent,beta.mergentintellect.com
jstor,labs.jstor.org
gale,galenet.galegroup.com
universitypressscholarship,universitypressscholarship.com
academicvideostore,www.academicvideostore.com
barrons,images.barrons.com
google,patents.google.com
lexisnexus,web.lexis-nexis.com
sagepub,jcd.sagepub.com
brainpop,go.brainpop.com
portico,www.portico.org
gitonline.foundationcenter,gtionline.foundationcenter.org
sagepub,icat.sagepub.com
worldcat,beta.worldcat.org
worldcat,cedarcrestcollegecressmanlibrary.worldcat.org
readspeaker,media-eu.readspeaker.com
aps,publish.aps.org
aps,journals.aps.org
cqpress,www.cqpress.com
amazonaws,cmoa-collection-images.s3.amazonaws.com
proquest,search.proquest.com.horacemann.idm.oclc.org
artifexpress,artifexpress.com
oxford,blog.oxforddictionaries.com
oclc,cdm16769.contentdm.oclc.org
metapress,brepols.metapress.com
metapress,metapress.com
sagepub,asr.sagepub.com
wsj,mw4.wsj.net
marketwatch,accounts.marketwatch.com
amazonaws,ithaka-labs.s3.amazonaws.com
sagepub,psp.sagepub.com
physiology,ajpregu.physiology.org
tandfonline,tandfonline.com
artstor,kaltura.artstor.org
google,gg.google.com
fold3,img6.fold3.com
cambridge,uk.cambridge.org
nexis,www.nexis.com
serialssolutions,assets-cdn.summon.serialssolutions.com
gale,tinyurl.galegroup.com
amazonaws,djcs-olympics.s3.amazonaws.com
dowjones,dowjones.com
umich,ets.umdl.umich.edu
ap.org,apimages.ap.org
apimages,www.apimages.com
newsbank,docfarm.newsbank.com
ensighten,nexus.ensighten.com
ebsco,training.ebsco.com
oclc,help.oclc.org
oxford,oxforddictionaries.com
dowjones,professional.dowjones.com
morningstar,rtqimg.morningstar.com
sagepub,afs.sagepub.com
google,khms1.googleapis.com
sagepub,www.sagepub.co.uk
nature,npg.nature.com
aps,cdn.aps.org
